/home/ec2-user/ricky/TIS/CIRCL/0806/www.circl.lu/doc/misp/feed-osint,,,about 1100 files
campaign , Cobalt Strike ,2,
campaign , ROKRAT ,2,
campaign , PhishMe ,2,
campaign , CARBANAK ,2,
campaign , CryptoWall ,2,
target-location , Belarus ,2,
campaign , TorrentLocker ,2,
target-location , Taiwan ,2,
target-industry , Blockbuster ,2,
attack-type , Scam ,2,
target-location , Ethiopian ,2,
target-platform , SSL ,2,
target-platform , EPS ,2,
campaign , Shakti ,2,
attack-type , ATP ,2,
campaign , BlackTech ,2,
campaign , KillDisk ,2,
attack-type , Keylogger ,2,
campaign , Mimikatz ,2,
campaign , Lazarus ,2,
campaign , Magniber ,2,
campaign , Kovter ,2,
campaign , Korplug ,2,
target-platform , Websites ,2,
campaign , Orcus ,2,
campaign , Saga ,2,
target-platform , Telegram ,2,
attack-type , Evasion ,2,
campaign , CryptoMix ,2,
campaign , APT15 ,2,
campaign , Gaza ,2,
campaign , NanoCore ,2,
campaign , Tizi ,2,
target-indistry , NSA ,2,
vulneribility , CVE-2014-4114 ,2,
target-platform , VPN ,2,
campaign , ShadowPad ,2,
target-platform , IoT ,2,
target-platform , PsExec ,2,
target-industry , Banks ,2,
target-platform , TeamViewer ,2,
target-platform , VPNFilter ,1,
campaign , NetTraveler ,1,
campaign , GoldenEye ,1,
campaign , Stantinko ,1,
target-platform , PayPal ,1,
target-platform , BitTorrent ,1,
campaign , UBoatRAT ,1,
campaign , SHELLTEA ,1,
attack-type , SQLi ,1,
campaign , ZAYKA ,1,
target-platform , SVG ,1,
target-industry , Military ,1,
target-platform , OceanLotus ,1,
campaign , Xorist ,1,
campaign , Gh0st ,1,
campaign , Satori ,1,
campaign , PowerSploit ,1,
campaign , GlassRAT ,1,
target-platform , SCADA ,1,
campaign , Qakbot ,1,
campaign , BlackMoon ,1,
campaign , Tofsee ,1,
vulnerability , ShellShock ,1,
campaign , AbaddonPOS ,1,
target-location , Ukraine ,1,
campaign , Blue Termite ,1,
campaign , SHARPKNOT ,1,
target-industry , NATO ,1,
campaign , SEDNIT ,1,
campaign , Umbreon ,1,
campaign , PowerSniff ,1,
campaign , Fireball ,1,
campaign , Stampado ,1,
campaign , Nitro ,1,
target-industry , NGO ,1,
campaign , BlackOasis ,1,
attack-type , Zero-day ,1,
campaign , TwoFace ,1,
campaign , APT30 ,1,
campaign , FAREIT ,1,
campaign , ZeroT ,1,
target-platform , CryptoCoin ,1,
attack-type , Webshells ,1,
campaign , Neo23x0 ,1,
campaign , WhiteRose ,1,
campaign , Seaduke ,1,
campaign , APT29 ,1,
campaign , PETYA ,1,
target-platform , Unix ,1,
campaign , Zebrocy ,1,
campaign , SherlockDroid ,1,
target-platform , PowerPoint ,1,
campaign , StalinLocker ,1,
target-platform , RDP ,1,
target-platform , VPS ,1,
attack-type , InfoStealer ,1,
campaign , SteamStealer ,1,
target-platform , BlackBerry ,1,
campaign , YellowAlbatross/Sphinx ,1,
target-location , Syria ,1,
target-platform , Minecraft ,1,
campaign , BlackNurse ,1,
target-industry , Telecom ,1,
campaign , Mole66 ,1,
target-platform , ARM ,1,
campaign , StrongPity2 ,1,
